country_name,words,count
Canada,ufc,585
Canada,science,583
Canada,entertainment,577
Canada,live,562
Canada,interview,533
Canada,pop,527
Canada,trailer,525
Canada,food,500
Canada,game,495
Canada,highlight,493
Canada,kpop,485
Canada,james charles,461
Canada,education,459
Canada,the,445
Canada,sport,441
Canada,premier league,438
Canada,dixie damelio,422
Canada,k-pop,414
Canada,play,413
Canada,parody,404
Canada,tutorial,402
Canada,tech,397
Canada,charli damelio,396
Canada,dream,395
Canada,cartoon,386
Canada,gameplay,384
Canada,mma,378
Canada,technology,377
Canada,apple,373
Canada,celebrities,373
Canada,humor,361
Canada,espn,361
Canada,charli d'amelio,359
Canada,minecraft challenge,358
Canada,ps5,358
Canada,buzzfeed,357
Canada,celebrity,356
Canada,fortnite battle royale,355
Canada,2021,355
Canada,unboxing,354
Canada,cooking,354
Canada,christmas,348
Canada,noah beck,346
Canada,youtube,345
Canada,dixie,344
Canada,disney,341
Canada,hollywood,337
Canada,action,337
Canada,humour,337
Canada,funny videos,332
Canada,dixie d'amelio,331
Canada,meme,329
Canada,battle royale,329
Canada,coronavirus,324
Canada,g league,323
Canada,teaser,321
Canada,drama,314
Canada,iphone 12,313
Canada,charli,310
Canada,official,307
Canada,xbox,306
Canada,goals,305
Canada,sketch,304
Canada,prank,302
Canada,politics,302
Canada,games,300
Canada,react,298
Canada,netflix,298
Canada,marvel,298
Canada,nfl,297
Canada,covid-19,296
Canada,official music video,295
Canada,nintendo,295
Canada,boxing,295
Canada,experiment,294
Canada,donald trump,292
Canada,video games,292
Canada,records,289
Canada,clip,287
Canada,nba playoffs,287
Canada,joe biden,286
Canada,fail,286
Canada,playstation,285
Canada,song,283
Canada,animated,281
Canada,video game,280
Canada,ps4,279
Canada,makeup,278
Canada,cute,278
Canada,canada,277
Canada,fashion,276
Canada,lol,275
Canada,recipe,275
Canada,iphone 12 pro,272
Canada,matpat,272
Canada,trending,267
Canada,vs,265
Canada,fight,265
Canada,xbox one,264
Canada,defense,264
Canada,pc,262
Canada,vlogs,261
Canada,dream minecraft,259
Canada,plays,259
Canada,movie,258
Canada,beauty,258
Canada,dream smp,258
Canada,among us animation,258
Canada,jake paul,257
Canada,offense,256
Canada,blackpink,256
Canada,hacks,256
Canada,playstation 5,254
Canada,nhl,254
Canada,manchester united,254
Canada,yt:cc=on,253
Canada,messi,252
Canada,dazn,251
Canada,history,251
Canada,jump shot,251
Canada,viral,250
Canada,love,249
Canada,film,249
Canada,ksi,248
Canada,tv,248
Canada,exclusive,246
Canada,steal,246
Canada,comedian,244
Canada,physics,244
Canada,sidemen,244
Canada,laugh,242
Canada,assist,241
Canada,f1,241
Canada,lebron james,240
Canada,rebound,240
Canada,damelio,240
Canada,commentary,240
Canada,chef,239
Canada,adventure,239
Canada,d'amelio,239
Canada,shorts,238
Canada,방탄소년단,236
Canada,space,235
Canada,minecraft but,232
Canada,nba season,232
Canada,baby,232
Canada,logan paul,230
Canada,dp,230
Canada,dude,230
Canada,atlantic records,229
Canada,test,229
Canada,playoffs,228
Canada,pass,227
Canada,do it yourself,226
Canada,lifestyle,225
Canada,reviews,223
Canada,travel,222
Canada,los angeles lakers,220
Canada,late night,219
Canada,full game highlights,219
Canada,hype house,218
Canada,formula 1,218
Canada,buzzfeedvideo,218
Canada,holiday,217
Canada,lakers,216
Canada,yg,216
Canada,full game recap,216
Canada,futbol,215
Canada,addison rae,214
Canada,reacting,213
Canada,talk show,213
Canada,goal,211
Canada,hockey,211
Canada,barcelona,210
Canada,yg entertainment,209
Canada,league of legends,207
Canada,hilarious,207
Canada,iphone 12 pro max,206
Canada,behind the scenes,205
Canada,boyfriend,203
Canada,heidi d'amelio,203
Canada,marc d'amelio,203
Canada,로제,203
Canada,game theory,202
Canada,epl,202
Canada,recap,201
Canada,ios 14,201
Canada,battle,201
Canada,kids,201
Canada,ko,200
Canada,trump,200
Canada,formula one,200
Canada,michou,200
Canada,podcast,200
Canada,imposter,199
Canada,dance,199
Canada,r&b,198
Canada,best,197
Canada,xbox series x,196
Canada,team,196
Canada,mine craft,196
Canada,fidget spinners,196
Canada,france,195
Canada,dunk,195
Canada,mystery,195
Canada,clean,195
Canada,film theory,194
Canada,rosé,194
Canada,pregnant,193
Canada,cycling,193
Canada,dude perfect,193
Canada,life,193
Canada,와이지,193
Canada,funny video,192
Canada,mobile game,192
Canada,kylie jenner,192
Canada,television,192
France,humour,2954
France,football,2425
France,france,1885
France,rap,1671
France,foot,1318
France,résumé,1072
France,michou,1028
France,paris,1007
France,musique,992
France,vlog,957
France,interview,915
France,challenge,883
France,fun,858
France,parodie,821
France,highlights,810
France,français,764
France,psg,716
France,video,711
France,fr,706
France,music,697
France,clip,688
France,drole,683
France,histoire,660
France,freestyle,646
France,pop,640
France,2020,634
France,sketch,616
France,drôle,612
France,jul,593
France,inoxtag,592
France,sport,582
France,marseille,577
France,film,574
France,live,570
France,match,566
France,buts,549
France,ligue 1,543
France,but,530
France,test,523
France,voiture,519
France,prank,517
France,booba,502
France,kpop,495
France,soccer,485
France,anime,484
France,manga,481
France,2021,471
France,reaction,465
France,tuto,451
France,ninho,448
France,divertissement,447
France,couple,443
France,journée,442
France,sp:ty=high,431
France,rap français,426
France,inox,424
France,sp:st=soccer,423
France,fortnite,423
France,gaming,419
France,diy,419
France,sch,418
France,science,417
France,messi,411
France,music video,410
France,k-pop,405
France,vidéo,403
France,défi,398
France,championnat,398
France,ligue 1 uber eats,395
France,french,395
France,jeux,394
France,cinéma,393
France,critique,389
France,hip hop,385
France,sp:vl=fr,377
France,teaser,376
France,instagram,376
France,youtube,367
France,neymar,366
France,tiktok,365
France,clip officiel,365
France,sp:li=france,365
France,lebouseuh,363
France,crouton,360
France,wejdene,351
France,voyage,351
France,naruto,350
France,lol,348
France,trailer,346
France,avis,344
France,résumé ligue 1 uber eats,343
France,vs,342
France,review,341
France,bts,341
France,funny,340
France,skyrock,338
France,tv,338
France,best of,330
France,benjamin,328
France,documentaire,326
France,valouzz,325
France,ligue des champions,324
France,jeu,324
France,redbox,323
France,ps5,320
France,arte,317
France,analyse,317
France,kaaris,317
France,amixem,313
France,comedy,306
France,naps,301
France,verrecchia,301
France,youtubeur,294
France,pidi,293
France,amour,292
France,niska,291
France,clash,291
France,twitch,290
France,makeup,289
France,apple,286
France,album,284
France,rap fr,277
France,freeze corleone,274
France,records,273
France,maes,270
France,cuisine,268
