country_name,channel_title,videos,views
Russia,İCTİMAİ TV,42,125075.73809523809
Russia,BANGTANTV,41,5923182.560975609
UK,FORMULA 1,41,2519497.512195122
Brazil,NOW UNITED,41,2930996.6585365855
Brazil,Rede Minas,41,42582.90243902439
Russia,Afinka,41,321830.34146341466
India,Sony PAL,41,1672500.024390244
Mexico,FOX Sports MX,40,960158.45
Russia,ЮморТВ,40,574825.05
India,ETV Jabardasth,40,2250363.575
Brazil,Carol Borba,40,103714.35
Russia,Калнина Наталья,40,166177.5
Brazil,AM3NlC,40,593024.325
India,Sun Bangla,40,3397171.35
Russia,Ազատություն,40,217041.525
Russia,ЕГОРИК,39,1258684.8717948718
Japan,朝倉未来 Mikuru Asakura,39,1560117.9487179487
Germany,NFL,39,3217818.794871795
Russia,СтопХам Мск,39,195008.6923076923
Brazil,LOUD,39,2261036.8205128205
UK,SidemenReacts,39,1723226.9487179487
Brazil,Invento na Hora,39,1976507.641025641
Russia,Çukur,39,2010909.9487179487
Russia,ВУХУУ!,39,416003.53846153844
Russia,ГвоздиShow,38,113654.68421052632
India,Zee Tamil,38,992730.2368421053
Russia,Дима Гордей,38,1087659.4210526317
Russia,Корявый VLOG,38,119966.6052631579
India,FactTechz,38,2279185.789473684
Russia,Україна 24,38,77291.42105263157
India,Amazon Prime Video India,38,9747264.868421054
Russia,Ледниковый Период,37,279036.75675675675
Germany,DAZN UEFA Europa League,37,416462.5945945946
USA,MrBeast Gaming,37,10612465.486486487
Russia,RedAutumn,37,88976.51351351352
Canada,DAZN Canada,37,112746.78378378379
Russia,АУКЦИОН КОНТЕЙНЕРОВ В США,36,426431.44444444444
Russia,Александр Палиенко,36,45666.52777777778
Russia,Stand-Up Club #1,36,281346.77777777775
Russia,USARMENIA,36,112559.38888888889
S Korea,Mnet Official,35,1972814.4285714286
France,Zap Télé Officiel,35,110194.22857142857
Russia,НАШ,35,261337.57142857142
USA,Champions League on CBS Sports,34,1077175.9117647058
Russia,Серіали України. Прем’єр,34,500420.20588235295
Russia,МЯЧ Production,34,222392.08823529413
UK,Mark Goldbridge That's Football,34,136756.5294117647
India,Royal Challengers Bangalore,34,1715950.2352941176
Russia,Деревенский блокнот,34,132963.76470588235
UK,Sky Sports Boxing,34,411863.20588235295
Russia,Жизнь Виа,34,124108.23529411765
France,LeBouseuh,34,1355894.2647058824
USA,Saturday Night Live,34,4808355.029411765
Russia,Hardcore Fighting Championship,34,2047189.705882353
India,Sambhavna Seth Entertainment,34,971943.3823529412
Germany,Deutschland sucht den Superstar,34,436653.20588235295
Japan,すとぷりちゃんねる,34,1233569.6176470588
Russia,SlivkiShow,34,2815172.882352941
S Korea,스포츠타임,34,1466693.294117647
Mexico,Más SKabeche,33,2357123.393939394
Mexico,Kimberly Loaiza,33,11180893.06060606
Russia,Телеканал Ю,33,987060.6060606061
Mexico,Antrax,33,2778893.757575758
UK,The Body Coach TV,33,299342.0606060606
Brazil,Me poupe!,33,274331.1212121212
Russia,KPOWERtuning,33,179927.33333333334
Russia,ПРИЯТНЫЙ ИЛЬДАР,33,557378.7878787878
S Korea,채널 십오야,33,1504341.8484848484
Russia,Armenian Public TV,33,72375.81818181818
Russia,Vitalik Ignatyuk,33,427336.69696969696
S Korea,총몇명,33,1455580.0909090908
Russia,RUSSIAN Music Mix,32,57526.125
Russia,sotavision,32,83957.3125
France,JOYCA,32,2042673.375
Russia,Руслан Усачев,32,769612.5
Germany,Freshtorge,32,438553.8125
Russia,Eşkıya Dünyaya Hükümdar Olmaz,32,1902449.375
Japan,ヒカル（Hikaru）,32,1820725.40625
Mexico,Free Fire - LATAM,32,2270499.6875
Russia,BLACKPINK,32,17967884.9375
Mexico,Exatlón México,32,674424.03125
USA,SSSniperWolf,32,4655205.1875
India,Rimorav Vlogs,32,2204440.125
Brazil,Dinah Moraes,32,919779.25
Russia,Max Maximov,32,252397.84375
Russia,Serie A,31,3733274.6129032257
India,StarPlus,31,2374184.064516129
Germany,FORMULA 1,31,2794246.9032258065
France,SQUEEZIE GAMING,31,1475243.5161290322
Mexico,LaLiga Santander,31,1459216.7096774194
Russia,LaLiga Santander,31,1364186.7419354839
France,France tv sport,31,225762.5483870968
S Korea,BANGTANTV,31,8985868.774193548
India,Anaysa,31,1927125.1935483871
Brazil,São Paulo FC,31,226366.93548387097
Canada,MrBeast Gaming,31,11086171.483870968
India,Voot,30,1846863.1
France,SkyrockFM,30,580766.5
S Korea,펜앤드마이크TV,30,88783.13333333333
Brazil,Hora do Faro,30,984936.6333333333
USA,SpaceX,30,2018936.6666666667
S Korea,TBS 시민의방송,30,433782.4666666667
Germany,BibisBeautyPalace,30,849710.4666666667
Mexico,TheDonato,30,4225834.166666667
France,Léna Situations,30,1244014.1
India,GAURAVZONE,29,700693.724137931
S Korea,워크맨-Workman,29,2186041.6896551726
Japan,P丸様。,29,1103392.7241379311
Japan,THE FIRST TAKE,29,3190635.379310345
India,BBC News Hindi,29,1043442.724137931
France,Pierre Croce,29,1327895.2758620689
UK,UFC - Ultimate Fighting Championship,29,2327167.1379310344
Mexico,JuegaGerman,29,2887800.5172413792
Canada,UFC - Ultimate Fighting Championship,29,2430110.7586206896
India,Netflix India,29,3569544.8620689656
UK,MoreSidemen,29,2975514.6896551726
Canada,ESPN,28,1373299.9285714286
France,Fédération Française de Football,28,236813.4642857143
France,L'ÉQUIPE,28,218626.75
S Korea,유 퀴즈 온 더 튜브,28,1787344.5
Japan,東海オンエアの控え室,28,1110833.5357142857
UK,carwow,28,1769402.5714285714
France,Benjamin Verrecchia,28,966149.0714285715
Canada,SpaceX,28,2105811.8571428573
India,Trakin Tech,28,1137562.357142857
Canada,BLACKPINK,28,26633751.64285714
India,Sony Music South,27,5414707.62962963
Brazil,Cartoleiros Gazeta do Povo,27,111742.37037037036
Mexico,LosPolinesios,27,3587355.962962963
Germany,DRUCK - Die Serie,27,172313.59259259258
Germany,SpaceX,27,2180252.5185185187
India,Cricbuzz,27,387525.5925925926
Japan,ジャニーズJr.チャンネル,27,742247.5185185185
Canada,NFL,27,3874945.2592592593
UK,SpaceX,27,2133871.0
Brazil,TV Palmeiras/FAM,26,364190.3076923077
India,Colors Rishtey,26,1044079.2307692308
USA,BLACKPINK,26,27333447.03846154
USA,MrBeast,26,28180829.346153848
UK,The National Lottery,26,92766.5
Canada,MrBeast,26,27890615.346153848
India,NDTV India,26,659668.6153846154
Germany,BLACKPINK,26,24628741.346153848
S Korea,런닝맨 - 스브스 공식 채널,26,1471432.1153846155
France,Roger et ses humains,26,387636.26923076925
UK,MrBeast,26,27403835.03846154
France,FastGoodCuisine,26,1041446.3846153846
India,Tech Burner,25,1518728.24
India,Rachit Rojha,25,5228086.56
Mexico,XpressTV,25,1679294.24
S Korea,SBS NOW / SBS 공식 채널,25,1633322.96
USA,NBC Sports,25,700736.56
France,MichouOff,25,1268739.08
Mexico,SMTOWN,25,15114525.56
Mexico,Fausto Murillo,25,101950.8
S Korea,장삐쭈,25,2052372.6
France,Téléfoot,25,273715.44
India,BakLol Video,25,3476895.16
Japan,48-フォーエイト,25,989672.6
USA,beIN SPORTS USA,25,837581.6
Germany,DAZN FA Cup & Carabao Cup,25,541705.64
Brazil,Grêmio FBPA,25,112697.36
Russia,SpaceX,25,1907437.92
S Korea,TV용느님,25,113952.12
India,Wanderers Hub,25,1931208.4
UK,NFL,25,3807419.28
Brazil,FLA TV,24,454913.25
S Korea,Big Hit Labels,24,30417517.125
France,Mcfly et Carlito la chaîne secondaire,24,2089817.7083333333
S Korea,SBS Catch,24,1243422.0833333333
USA,James Charles,24,9915955.875
India,England & Wales Cricket Board,24,4540053.25
Mexico,YOLO AVENTURAS,24,2845211.9166666665
Japan,TBS公式 YouTuboo,24,1090806.7916666667
Germany,DAZN_DE,24,437019.4166666667
Brazil,UOL Esporte,24,214435.75
Brazil,SMTOWN,24,18510149.333333332
S Korea,엄튜브 /EOMTUBE,24,43336.541666666664
Germany,MrBeast,24,26422187.375
India,Shoaib Akhtar,24,1001640.625
India,Zee Telugu,24,2472625.8333333335
Brazil,EU FICO LOKO,24,422911.4583333333
Japan,RIZIN FIGHTING FEDERATION,24,838296.8333333334
France,SMTOWN,24,16132369.791666666
Mexico,BLACKPINK,24,31763886.333333332
Japan,両学長 リベラルアーツ大学,24,267000.5
Brazil,Renato Garcia,24,1542436.6666666667
India,M4 Tech,24,1747144.3333333333
India,ICC,24,1824206.2083333333
India,Sony Music India,24,12764078.041666666
Germany,Naturensöhne,23,140575.69565217392
Russia,LABELCOM,23,6635332.130434782
Russia,Big Hit Labels,23,22977384.04347826
Mexico,JUCA,23,955904.4347826086
India,JaiPuru,23,852662.0434782609
Brazil,Jogo Aberto,23,759942.7826086957
Mexico,Big Hit Labels,23,30476921.04347826
Brazil,Roda Viva,23,266519.9130434783
Japan,SixTONES,23,992147.6086956522
UK,Thogden,23,236971.13043478262
Germany,SMTOWN,23,14068870.913043479
Russia,SMTOWN,23,9865923.47826087
UK,Anastasia Kingsnorth,23,541997.0434782609
France,Red Binks,23,496220.8695652174
France,Inoxtag,23,2018324.0
India,Fishing Freaks,23,1018672.0434782609
India,Viwa Food World,23,778060.0434782609
Japan,JO1,23,386761.9130434783
India,WWE,23,2579451.7391304346
India,Dice Media,23,2511069.0
Japan,コムドット,23,1327789.608695652
S Korea,빨간내복야코,23,650413.2608695652
France,Booska-P.com,22,657780.1818181818
Brazil,Big Hit Labels,22,30716156.40909091
Mexico,¿Quién es la Máscara?,22,773251.5454545454
India,Sanjhalika Vlog,22,2222841.909090909
France,Pidi,22,952926.2727272727
India,Surya TV,22,363797.5909090909
Germany,World Wide Wohnzimmer,22,372916.13636363635
S Korea,tvN DRAMA,22,1290893.8181818181
UK,BLACKPINK,22,28697865.727272727
S Korea,파뿌리,22,1058417.5909090908
UK,Sidemen,22,7041998.454545454
S Korea,디글 :Diggle,22,1280415.7727272727
India,Speed Records,22,9049837.181818182
India,BANGTANTV,22,9842355.363636363
Brazil,BLACKPINK,22,33332185.363636363
India,Anand Audio,22,3770515.4545454546
India,Nakkalites,22,1123389.0909090908
India,Pragati Verma,22,1056269.2272727273
India,Mr & Mrs Choudhary,22,2272373.1818181816
Canada,The United Stand,22,425874.2272727273
S Korea,키에커,22,908528.3181818182
S Korea,달라스튜디오,22,2516105.8636363638
UK,England,22,353010.4090909091
UK,I Talk,22,356230.95454545453
USA,UFC - Ultimate Fighting Championship,22,2785077.8636363638
India,Free Fire India Official,22,4375850.045454546
India,VYRLOriginals,22,8860985.863636363
India,BLACKPINK,22,30576313.454545453
India,Viacom18 Studios,22,612673.5
Germany,GRIP - Das Motormagazin,22,535602.2727272727
Mexico,La Capital,22,2624496.6363636362
Germany,Simplicissimus,22,496742.63636363635
