country_name,category_title,comments,likes,dislikes,views,engagement_rate
Mexico,Gaming,6.2,92.1,1.69,9927088885.0,8.88
Mexico,Howto & Style,7.28,90.75,1.97,2005746052.0,6.91
Mexico,Music,9.85,88.22,1.94,53278148815.0,8.15
Mexico,News & Politics,11.16,84.11,4.73,1468619094.0,3.4
Mexico,People & Blogs,7.79,89.89,2.32,8365710123.0,8.91
Mexico,Pets & Animals,12.59,82.61,4.79,50088701.0,2.79
Mexico,Science & Technology,6.52,89.7,3.78,1444172232.0,3.4
Mexico,Shows,36.25,53.78,9.97,65436.0,1.4
Mexico,Sports,8.12,88.71,3.17,6480687434.0,2.43
Mexico,Travel & Events,6.25,91.48,2.27,241673180.0,7.81
Russia,Autos & Vehicles,8.23,87.77,3.99,1579708002.0,7.52
Russia,Comedy,7.79,87.08,5.14,3367593341.0,7.47
Russia,Education,9.64,85.77,4.59,109188489.0,7.55
Russia,Entertainment,9.54,87.24,3.22,9468119259.0,9.43
Russia,Film & Animation,7.56,89.29,3.15,2130318980.0,4.71
Russia,Gaming,8.47,87.84,3.69,993311831.0,6.84
Russia,Howto & Style,7.66,88.79,3.55,966875080.0,5.16
Russia,Movies,9.49,83.83,6.68,100049.0,2.06
Russia,Music,11.46,86.11,2.43,9105567128.0,12.27
Russia,News & Politics,12.16,75.87,11.98,2822528525.0,4.73
Russia,People & Blogs,9.14,85.61,5.25,4893613118.0,8.38
Russia,Pets & Animals,10.89,86.24,2.88,129947749.0,7.11
Russia,Science & Technology,14.37,82.09,3.54,1422475639.0,7.11
Russia,Shows,17.0,70.64,12.36,32436027.0,2.32
Russia,Sports,10.08,84.69,5.23,2490901137.0,3.61
Russia,Travel & Events,9.85,86.74,3.41,137342276.0,7.51
S Korea,Autos & Vehicles,16.9,75.75,7.36,403430057.0,1.64
S Korea,Comedy,10.86,86.24,2.9,3348569364.0,3.9
S Korea,Education,11.91,85.69,2.39,701775313.0,2.61
S Korea,Entertainment,9.42,88.24,2.34,21332751340.0,3.91
S Korea,Film & Animation,14.88,82.64,2.48,2533550374.0,2.14
S Korea,Gaming,12.04,85.85,2.11,2221466819.0,4.31
S Korea,Howto & Style,9.76,87.83,2.41,1148724798.0,2.44
S Korea,Music,12.67,85.79,1.54,29263114500.0,9.28
S Korea,News & Politics,17.71,78.46,3.83,3124591861.0,2.14
S Korea,People & Blogs,10.45,86.99,2.56,5742386086.0,4.28
S Korea,Pets & Animals,10.76,87.66,1.58,942750506.0,2.12
S Korea,Science & Technology,6.96,89.24,3.8,2073513807.0,2.47
S Korea,Shows,34.76,57.8,7.44,16812029.0,0.7
S Korea,Sports,16.51,80.24,3.26,4162787767.0,1.69
S Korea,Trailers,25.0,75.0,0.0,33299.0,0.02
S Korea,Travel & Events,9.46,88.04,2.5,346430574.0,1.75
UK,Autos & Vehicles,8.37,89.58,2.06,1194337883.0,4.12
UK,Comedy,8.36,89.78,1.86,6618874119.0,5.93
UK,Education,8.02,90.14,1.84,1398982066.0,6.79
UK,Entertainment,9.37,85.87,4.76,49709237324.0,4.61
UK,Film & Animation,8.91,88.34,2.74,10610923303.0,2.87
UK,Gaming,8.27,89.9,1.84,13380424910.0,6.12
UK,Howto & Style,9.69,87.13,3.18,2811657296.0,5.45
UK,Music,8.68,88.25,3.08,197581592760.0,3.35
UK,News & Politics,20.63,69.79,9.59,3362491838.0,2.51
UK,People & Blogs,7.92,87.97,4.11,12695886665.0,4.83
UK,Pets & Animals,8.06,90.15,1.79,756380914.0,3.7
UK,Science & Technology,7.47,89.79,2.74,6198640758.0,3.66
UK,Shows,8.76,90.55,0.69,28583283.0,3.23
UK,Sports,8.96,86.29,4.75,12539943073.0,2.78
UK,Travel & Events,9.89,87.93,2.18,257386545.0,2.67
USA,Autos & Vehicles,8.69,89.39,1.92,1552472660.0,3.28
USA,Comedy,8.18,89.86,1.96,8653718256.0,6.37
USA,Education,8.75,89.04,2.21,2392525774.0,5.97
USA,Entertainment,8.92,87.95,3.12,44670460434.0,4.92
USA,Film & Animation,8.89,88.74,2.37,10951230653.0,3.63
USA,Gaming,9.4,88.02,2.57,17819761993.0,5.75
USA,Howto & Style,10.38,86.49,3.13,6997703686.0,4.94
USA,Music,9.87,87.79,2.34,85304709036.0,6.0
USA,News & Politics,21.18,67.42,11.4,4784766463.0,2.0
USA,Nonprofits & Activism,20.58,65.55,13.88,187841921.0,12.75
USA,People & Blogs,8.37,88.26,3.37,14014129013.0,5.88
USA,Pets & Animals,9.91,88.21,1.88,1125882937.0,3.62
USA,Science & Technology,8.57,88.35,3.08,9070717921.0,3.53
USA,Shows,7.91,90.05,2.04,51501058.0,2.33
USA,Sports,9.46,87.17,3.37,15157174424.0,2.48
USA,Travel & Events,12.82,83.06,4.12,440623995.0,2.48
Overall,Autos & Vehicles,7.88,89.65,2.47,8594628847.0,5.06
Overall,Comedy,6.95,90.87,2.18,57526176529.0,7.31
Overall,Education,8.41,89.37,2.22,9433861605.0,6.04
Overall,Entertainment,8.18,88.06,3.76,287517424153.0,5.54
Overall,Film & Animation,8.69,87.99,3.32,47282870258.0,3.57
Overall,Gaming,8.01,89.9,2.09,80817973960.0,6.34
Overall,Howto & Style,8.75,87.94,3.31,25045230139.0,4.84
Overall,Movies,5.03,90.41,4.56,53239287.0,1.56
Overall,Music,10.61,87.04,2.35,608648463251.0,6.25
Overall,News & Politics,16.34,74.04,9.62,27558600548.0,2.63
Overall,Nonprofits & Activism,20.58,65.55,13.88,187841921.0,12.75
Overall,People & Blogs,7.79,88.93,3.27,83451820872.0,6.22
Overall,Pets & Animals,10.07,88.05,1.87,4245690674.0,3.48
Overall,Science & Technology,8.17,88.72,3.11,43748083567.0,4.07
Overall,Shows,11.02,77.83,11.15,402695313.0,1.38
Overall,Sports,8.53,88.04,3.42,79883429985.0,2.79
Overall,Trailers,0.96,94.74,4.31,55043.0,0.38
Overall,Travel & Events,9.58,87.77,2.65,2097968668.0,4.56
