country_name,words,count
India,india,2451
India,funny videos,1878
India,entertainment,1810
India,punjabi songs,1802
India,news,1749
India,trending,1710
India,latest,1687
India,funny video,1578
India,bollywood,1548
India,latest punjabi songs,1436
India,full episode,1426
India,latest news,1422
India,show,1419
India,serial,1409
India,new,1399
India,television,1368
India,comedy videos,1340
India,hindi,1300
India,breaking news,1243
India,fun,1219
India,watch online,1216
India,daily soap,1190
India,telugu,1166
India,punjabi,1166
India,comedy video,1156
India,new song,1146
India,love,1132
India,comedy show,1131
India,zee5,1098
India,bigg boss,1088
India,new punjabi songs,1049
India,web series,1049
India,vijay tv,1047
India,tamil,1045
India,2020,1043
India,jethalal,1030
India,songs,1026
India,malayalam,977
India,babita,952
India,hindi shows,931
India,jabardasth,929
India,zee tv,913
India,tamil shows,911
India,taarak mehta ka ooltah chashmah,904
India,telugu news,883
India,2018,881
India,vlog,868
India,sab tv channel,858
India,hindi comedy show,849
India,தமிழ்,845
India,tamil tv,828
India,star vijay tv,826
India,தொலைக்காட்சி,826
India,sab tv funny show,815
India,zee marathi,813
India,vijay,805
India,tapu sena,804
India,tamil news,786
India,extra jabardasth,785
India,family,782
India,star,779
India,kerala,778
India,latest punjabi songs 2020,777
India,song,776
India,तारक मेहता,775
India,trailer,773
India,new punjabi songs 2020,756
India,videos,747
India,cricket,746
India,new songs,734
India,new punjabi song 2020,724
India,video,721
India,latest songs,718
India,tollywood,715
India,desi,704
India,viral,700
India,zee tamil,696
India,new punjabi song,695
Japan,アニメ,3147
Japan,youtuber,2856
Japan,お笑い,2422
Japan,japan,1901
Japan,youtube,1771
Japan,おもしろ,1731
Japan,ゲーム,1704
Japan,japanese,1656
Japan,ドッキリ,1654
Japan,動画,1457
Japan,料理,1424
Japan,vtuber,1329
Japan,実況,1312
Japan,大食い,1300
Japan,面白,1293
Japan,コント,1293
Japan,芸人,1289
Japan,メイク,1237
Japan,爆笑,1227
Japan,歌ってみた,1219
Japan,tiktok,1192
Japan,uuum,1189
Japan,anime,1083
Japan,カップル,1061
Japan,ニュース,1026
Japan,ゲーム実況,1018
Japan,vlog,1014
Japan,面白い,991
Japan,ネタ,980
Japan,釣り,979
Japan,都市伝説,965
Japan,アイドル,943
Japan,プロ野球,937
Japan,バーチャルyoutuber,913
Japan,可愛い,907
Japan,楽しい,903
Japan,スポーツ,891
Japan,ユーチューバー,862
Japan,漫画,856
Japan,abema,830
Japan,野球,822
Japan,k-pop,801
Japan,funny,794
Japan,チャレンジ,762
Japan,ウーム,750
Japan,検証,744
Japan,恋愛,741
Japan,かわいい,726
Japan,日本,725
Japan,diy,721
Japan,ファッション,717
Japan,ドラマ,698
Japan,game,694
Japan,bts,693
Japan,イケメン,681
Japan,やってみた,652
Japan,ジャニーズ,652
Japan,コラボ,649
Japan,映画,648
Japan,商品紹介,646
Japan,オススメ,622
Japan,鬼滅の刃,617
Japan,rizin,612
Japan,朝倉未来,608
Japan,衝撃,607
Japan,ライブ,606
Japan,abematv,606
Japan,コスメ,594
Japan,live,593
Japan,面白動画,587
Japan,mv,581
Japan,笑える,579
Japan,twice,578
Japan,トーク,571
Japan,大学生,571
Japan,韓国,571
Japan,すとぷり,565
Japan,家族,563
Japan,ヒカル,560
Japan,声優,550
Mexico,mexico,4275
Mexico,noticias,3557
Mexico,televisa,2589
Mexico,comedia,2244
Mexico,entretenimiento,2133
Mexico,de,2115
Mexico,latin,2041
Mexico,musica,2017
Mexico,tv azteca,1907
Mexico,resumen,1867
Mexico,music,1862
Mexico,liga mx,1832
Mexico,vlog,1826
Mexico,challenge,1815
Mexico,bromas,1808
Mexico,amlo,1767
Mexico,futbol,1761
Mexico,2018,1752
Mexico,cracks,1661
Mexico,español,1621
Mexico,broma,1587
Mexico,soccer,1585
Mexico,goles,1577
Mexico,video,1568
Mexico,reto,1551
Mexico,highlights,1539
Mexico,humor,1486
Mexico,amor,1465
Mexico,pop,1463
Mexico,trap,1459
Mexico,rap,1430
Mexico,nuevo,1357
Mexico,argentina,1341
Mexico,reggaeton,1333
Mexico,barcelona,1323
Mexico,real madrid,1264
Mexico,tendencias,1248
Mexico,deportes,1222
Mexico,fútbol,1207
Mexico,retos,1187
Mexico,cristiano ronaldo,1171
Mexico,luisito comunica,1169
Mexico,colombia,1168
Mexico,viral,1154
Mexico,risas,1149
Mexico,latino,1148
Mexico,divertido,1135
Mexico,curiosidades,1080
Mexico,hip hop,1066
Mexico,futbol mexicano,1063
Mexico,dios,1046
Mexico,funny,1043
Mexico,los polinesios,1042
Mexico,messi,1039
Mexico,méxico,1015
Mexico,videos,1014
Mexico,top,1005
Mexico,jukilop,988
Mexico,football,978
Mexico,tops,971
Mexico,kimberly loaiza,957
Mexico,bad bunny,951
Mexico,vlogs,917
Mexico,oficial,914
Mexico,gameplay,901
Mexico,la,899
Mexico,youtube,896
Mexico,2020,873
Mexico,goals,872
Mexico,minecraft,868
Mexico,24 horas,866
Mexico,youtubers,859
Mexico,yolo aventuras,854
Mexico,lionel messi,844
Mexico,juca,842
Mexico,diversion,838
Mexico,el,825
Mexico,tutorial,815
Mexico,famosos,814
Mexico,2017,807
Overall,funny,30057
Overall,comedy,27237
Overall,vlog,17496
Overall,music,17148
Overall,news,15412
Overall,rap,14941
Overall,football,14768
Overall,highlights,12679
Overall,video,11782
Overall,2018,11381
Overall,pop,11229
Overall,live,11127
Overall,challenge,10148
Overall,diy,9614
Overall,humor,9368
Overall,trailer,9044
Overall,2020,8923
Overall,hip hop,8836
Overall,review,8772
Overall,tv,8690
Overall,entertainment,8607
Overall,bts,8509
Overall,kpop,8226
Overall,youtube,8131
Overall,music video,8059
Overall,interview,8002
Overall,soccer,7711
Overall,new,7664
Overall,fun,7651
Overall,animation,7021
Overall,humour,6947
Overall,food,6711
Overall,sports,6706
Overall,how to,6655
Overall,game,6486
Overall,tiktok,6462
Overall,youtuber,6348
Overall,reaction,6318
Overall,show,6266
Overall,family,6135
Overall,official,6003
Overall,tutorial,5932
Overall,television,5931
Overall,2017,5784
Overall,k-pop,5761
Overall,film,5688
Overall,nba,5673
Overall,funny videos,5609
Overall,minecraft,5583
Overall,movie,5510
Overall,fortnite,5488
Overall,love,5486
Overall,sport,5368
Overall,funny video,5275
Overall,celebrity,5239
Overall,comedian,5238
Overall,makeup,5176
Overall,drama,5161
Overall,science,4958
Overall,dance,4894
Overall,sketch,4862
Overall,mexico,4821
Overall,teaser,4809
Overall,prank,4799
Overall,politics,4732
Overall,records,4719
Overall,hollywood,4706
Overall,gaming,4697
Overall,the,4652
Overall,юмор,4613
Overall,россия,4603
Overall,talk show,4592
Overall,donald trump,4543
Overall,celebrities,4527
Overall,family friendly,4499
Overall,song,4497
Overall,ufc,4489
Overall,basketball,4479
Overall,lol,4463
Overall,beauty,4458
Russia,россия,4486
Russia,юмор,4444
Russia,новости,4142
Russia,путин,4065
Russia,обзор,3997
Russia,политика,3551
Russia,навальный,2664
Russia,челлендж,2134
Russia,приколы,2132
Russia,последние новости,1906
Russia,интервью,1902
Russia,топ,1868
Russia,шоу,1678
Russia,2018,1674
Russia,музыка,1629
Russia,футбол,1601
Russia,своими руками,1590
Russia,авто,1536
Russia,кино,1508
Russia,украина,1505
Russia,спорт,1446
Russia,сша,1410
Russia,прикол,1400
Russia,анимация,1386
Russia,выборы,1379
Russia,реакция,1373
Russia,фильм,1309
Russia,москва,1305
Russia,сериал,1302
Russia,влог,1293
Russia,клип,1194
Russia,видео,1159
Russia,алексей навальный,1142
Russia,онлайн,1128
Russia,лукашенко,1115
Russia,соловьев,1111
Russia,экономика,1102
Russia,diy,1072
Russia,еда,1055
Russia,прямой эфир,1031
Russia,смешно,1004
Russia,премьера,994
Russia,тнт,990
Russia,ufc,988
Russia,владимир соловьев,986
Russia,беларусь,949
Russia,как сделать,934
Russia,смех,918
Russia,трамп,916
Russia,факты,913
Russia,эксперимент,902
Russia,россия 24,889
Russia,сделай сам,886
Russia,новости россии,883
Russia,любовь,882
Russia,короче говоря,871
Russia,news,844
Russia,2017,831
Russia,2020,831
Russia,история,814
Russia,топ 10,801
Russia,24 часа,796
Russia,вести,795
Russia,владимир путин,793
Russia,рецепты,791
Russia,рецепт,791
Russia,подборка,788
Russia,отношения,780
Russia,угар,779
Russia,новый год,777
Russia,пранк,766
Russia,лайфхаки,759
Russia,бизнес,759
Russia,смотреть,755
Russia,жириновский,751
Russia,mma,749
Russia,митинг,747
Russia,пародия,743
Russia,блог,741
Russia,а4,738
S Korea,먹방,4109
S Korea,kpop,3077
S Korea,mukbang,2375
S Korea,뉴스,2193
S Korea,bts,2184
S Korea,문재인,1833
S Korea,예능,1809
S Korea,sbs,1804
S Korea,k-pop,1625
S Korea,방탄소년단,1553
S Korea,korean,1533
S Korea,korea,1451
S Korea,레전드,1427
S Korea,아이돌,1408
S Korea,리뷰,1394
S Korea,아프리카tv,1319
S Korea,kbs,1316
S Korea,유재석,1224
S Korea,vlog,1220
S Korea,브이로그,1213
S Korea,mbc,1197
S Korea,news,1186
S Korea,꿀잼,1184
S Korea,요리,1182
S Korea,게임,1158
S Korea,asmr,1142
S Korea,jtbc,1142
S Korea,bj,1097
S Korea,한국,1090
S Korea,웃긴영상,1089
S Korea,드라마,1061
S Korea,웃긴,1019
S Korea,영화,1015
S Korea,손흥민,1010
S Korea,애니메이션,985
S Korea,김정은,981
S Korea,철구,981
S Korea,tvn,977
S Korea,연애,974
S Korea,트럼프,892
S Korea,몰카,884
S Korea,고양이,877
S Korea,yt:cc=on,869
S Korea,라면,856
S Korea,live,848
S Korea,미국,847
S Korea,토트넘,841
S Korea,일상,836
S Korea,만화,829
S Korea,개그,828
S Korea,영상,822
S Korea,병맛,813
S Korea,강아지,800
S Korea,idol,784
S Korea,아프리카,781
S Korea,music,774
S Korea,박근혜,742
S Korea,음악,736
S Korea,트로트,725
S Korea,음식,719
S Korea,임영웅,715
S Korea,mnet,704
S Korea,댄스,699
S Korea,커플,691
S Korea,미스터트롯,684
S Korea,직캠,678
S Korea,funny,677
S Korea,노래,674
S Korea,치킨,671
S Korea,패션,670
S Korea,홍준표,664
S Korea,food,663
S Korea,북한,662
S Korea,더빙,660
S Korea,jimin,659
S Korea,하하,652
S Korea,김어준,651
S Korea,감스트,651
S Korea,lol,648
S Korea,대도서관,647
UK,funny,5697
UK,comedy,4901
UK,music,3767
UK,football,3560
UK,pop,2741
UK,rap,2499
UK,music video,2371
UK,vlog,2215
UK,trailer,2199
UK,live,2103
UK,hip hop,2037
UK,official,1929
UK,news,1882
UK,sports,1881
UK,interview,1874
UK,premier league,1846
UK,highlights,1839
UK,video,1833
UK,soccer,1595
UK,celebrity,1543
UK,new,1474
UK,records,1416
UK,review,1392
UK,2018,1392
UK,humor,1360
UK,the,1358
UK,entertainment,1356
UK,movie,1310
UK,challenge,1297
UK,official video,1223
UK,star wars,1215
UK,film,1197
UK,hollywood,1168
UK,family,1157
UK,christmas,1150
UK,how to,1104
UK,comedian,1101
UK,manchester united,1094
UK,animation,1093
UK,sky sports,1072
UK,television,1051
UK,sidemen,1049
UK,ufc,1044
UK,gaming,1041
UK,minecraft,1039
UK,late night,1022
UK,fun,1015
UK,celebrities,1000
UK,fashion,995
UK,london,992
UK,fortnite,979
UK,marvel,974
UK,bts,969
UK,makeup,947
UK,bbc,946
UK,beauty,938
UK,dance,934
UK,kpop,932
UK,talk show,922
UK,2020,921
UK,reaction,916
UK,man utd,898
UK,boxing,884
UK,song,874
UK,atlantic records,861
UK,jokes,860
UK,r&b,849
UK,alternative,849
UK,ksi,848
UK,tiktok,836
UK,funny video,834
UK,man united,829
UK,clip,806
UK,new york,802
UK,teaser,799
UK,drama,787
UK,sport,785
UK,love,777
UK,action,776
UK,cute,774
USA,funny,7168
USA,comedy,5861
USA,music,3158
USA,news,2493
USA,how to,2490
USA,pop,2196
USA,vlog,2141
USA,animation,2062
USA,trailer,1992
USA,football,1930
USA,highlights,1930
USA,review,1860
USA,rap,1797
USA,diy,1756
USA,science,1738
USA,video,1719
USA,food,1719
USA,nba,1714
USA,challenge,1644
USA,entertainment,1629
USA,live,1590
USA,music video,1573
USA,humor,1570
USA,makeup,1559
USA,family,1526
USA,basketball,1489
USA,interview,1488
USA,family friendly,1487
USA,sports,1448
USA,tutorial,1430
USA,hip hop,1418
USA,celebrity,1371
USA,game,1367
USA,fun,1308
USA,reaction,1291
USA,2018,1289
USA,new,1276
USA,2020,1242
USA,beauty,1227
USA,official,1223
USA,television,1203
USA,movie,1196
USA,highlight,1176
USA,education,1168
USA,buzzfeed,1168
USA,cooking,1168
USA,cute,1149
USA,celebrities,1145
USA,minecraft,1137
USA,hollywood,1118
USA,records,1110
USA,comedian,1100
USA,bts,1082
USA,nbc,1049
USA,nfl,1047
USA,late night,1040
USA,recipe,1028
USA,soccer,1021
USA,the,1015
USA,play,995
USA,christmas,978
USA,gaming,970
USA,marvel,969
USA,tiktok,967
USA,disney,958
USA,parody,946
USA,talk show,941
USA,fortnite,937
USA,technology,933
USA,fashion,931
USA,best,919
USA,james charles,903
USA,drama,891
USA,sketch,870
USA,games,861
USA,film,859
USA,animated,859
USA,snl,857
USA,love,850
USA,funny video,849
