country_name,category_title,comments,likes,views
Mexico,Sports,12789874,139651659.0,6480687434.0
Mexico,Travel & Events,1180100,17270248.0,241673180.0
Russia,Autos & Vehicles,9776860,104211089.0,1579708002.0
Russia,Comedy,19576822,218918561.0,3367593341.0
Russia,Education,794626,7069752.0,109188489.0
Russia,Entertainment,85222333,779254457.0,9468119259.0
Russia,Film & Animation,7584322,89576402.0,2130318980.0
Russia,Gaming,5753138,59647846.0,993311831.0
Russia,Howto & Style,3821346,44296094.0,966875080.0
Russia,Movies,196,1732.0,100049.0
Russia,Music,128032815,962446854.0,9105567128.0
Russia,News & Politics,16220294,101235783.0,2822528525.0
Russia,People & Blogs,37492131,351137738.0,4893613118.0
Russia,Pets & Animals,1005316,7964313.0,129947749.0
Russia,Science & Technology,14536780,83046266.0,1422475639.0
Russia,Shows,127772,530775.0,32436027.0
Russia,Sports,9066153,76152539.0,2490901137.0
Russia,Travel & Events,1016237,8950100.0,137342276.0
South Korea,Autos & Vehicles,1120774,5023731.0,403430057.0
South Korea,Comedy,14172770,112589020.0,3348569364.0
South Korea,Education,2178233,15669060.0,701775313.0
South Korea,Entertainment,78603396,736502590.0,21332751340.0
South Korea,Film & Animation,8072354,44840859.0,2533550374.0
South Korea,Gaming,11525006,82199124.0,2221466819.0
South Korea,Howto & Style,2736958,24617039.0,1148724798.0
South Korea,Music,344084506,2329880522.0,29263114500.0
South Korea,News & Politics,11859009,52553529.0,3124591861.0
South Korea,People & Blogs,25717946,214013128.0,5742386086.0
South Korea,Pets & Animals,2149217,17511303.0,942750506.0
South Korea,Science & Technology,3568189,45777526.0,2073513807.0
South Korea,Shows,40772,67793.0,16812029.0
South Korea,Sports,11615588,56458562.0,4162787767.0
South Korea,Trailers,2,6.0,33299.0
South Korea,Travel & Events,573689,5338787.0,346430574.0
UK,Autos & Vehicles,4115749,44067195.0,1194337883.0
UK,Comedy,32824490,352462305.0,6618874119.0
UK,Education,7615990,85600308.0,1398982066.0
UK,Entertainment,214763830,1968249690.0,49709237324.0
UK,Film & Animation,27145251,269030065.0,10610923303.0
UK,Gaming,67682596,736181255.0,13380424910.0
UK,Howto & Style,14854240,133610547.0,2811657296.0
UK,Music,574778530,5844638592.0,197581592760.0
UK,News & Politics,17413672,58914082.0,3362491838.0
UK,People & Blogs,48527928,539148217.0,12695886665.0
UK,Pets & Animals,2252363,25196410.0,756380914.0
UK,Science & Technology,16921707,203466017.0,6198640758.0
UK,Shows,80957,836738.0,28583283.0
UK,Sports,31241406,300925312.0,12539943073.0
UK,Travel & Events,679027,6035195.0,257386545.0
