country_name,channel_title,videos,views
France,RMC Sport,112,269548.22321428574
France,NDEKO ELIEZER TOKOKOMA,112,42931.21428571428
Mexico,IDEAS EN 5 MINUTOS,112,54314.1875
Mexico,Draw My Life en Español,111,281010.7927927928
Canada,Eat Bulaga!,111,124507.58558558559
Russia,PRO Английский футбол,111,134402.99099099098
Mexico,"Ðisραrαron, Mαnigüis, Ðisραrαron",111,15431.468468468469
Germany,The Late Show with Stephen Colbert,111,1224560.792792793
Canada,Linus Tech Tips,111,833984.2252252252
Canada,NBA,111,1769168.0
Germany,atv,110,481775.3
Russia,Красный квадрат,110,44861.41818181818
Russia,Xəzər Film,110,23422.172727272726
Canada,Good Mythical Morning,109,527231.0366972478
India,only ias,109,27152.97247706422
Russia,DaiFiveTop,109,305075.56880733947
Canada,The View,109,188894.3027522936
Canada,REACT,109,602270.9724770642
France,C dans l'air,108,17888.99074074074
Russia,Om TV,108,182677.3148148148
Mexico,Caso Cerrado,107,139387.5327102804
France,Attessia TV,106,152266.69811320756
India,SunTV Tamil,106,351134.9716981132
Germany,Klinik am Südring,106,178126.15094339623
Brazil,Felipe Neto,106,1902658.8490566039
Mexico,Inspira Positivo,106,18245.61320754717
Russia,Dmitry Puchkov,106,155488.0849056604
France,TVLibertés,104,8824.875
S Korea,TV Derana,104,376007.35576923075
Canada,MLG Highlights,104,1914372.0576923077
Canada,Skip and Shannon: UNDISPUTED,104,462463.5673076923
Canada,Elhiwar Ettounsi,104,112123.25961538461
Russia,Урожайный огород,104,57742.92307692308
Russia,БЕРИ И ДЕЛАЙ,103,31398.31067961165
S Korea,SPOTV,103,857350.0873786408
France,The Late Show with Stephen Colbert,103,1102400.436893204
Mexico,Franco Escamilla,103,325165.22330097086
Russia,Вкусная минутка,103,72605.54368932039
Mexico,TikTak Draw,103,422957.5922330097
Canada,Comment Awards,102,485240.8823529412
Germany,Elli Schramm,102,27330.196078431374
Canada,大劇獨播,101,101849.97029702971
Mexico,Campechaneando,101,121027.34653465346
Mexico,Hoy,101,247170.0396039604
Russia,Alex Boyko,101,452057.900990099
Russia,Новости на Первом Канале,101,118721.39603960396
India,Taarak Mehta Ka Ooltah Chashmah,100,4478893.35
Germany,Leckerschmecker,100,31255.81
France,Les Grosses Têtes,100,7038.13
Canada,Breakfast Club Power 105.1 FM,99,604489.8585858586
Russia,Мастерская Настроения,99,689917.2929292929
Mexico,Armando En Tu Cocina,99,28405.636363636364
India,MR. INDIAN HACKER,99,2737951.0606060605
France,C à vous,98,48209.78571428572
India,THIRU TV,98,196818.1326530612
Germany,Zadruga Official,98,228837.8775510204
Germany,World Wide Wohnzimmer,97,162259.3505154639
Mexico,Eliot Channel Mx,97,231296.587628866
Russia,A4,97,10058764.164948454
France,Zap Télé,97,99359.38144329897
Canada,HUM TV,96,397238.0833333333
India,And TV,96,138007.78125
Germany,Ch3Thailand,96,93652.60416666667
France,AKRAMJUNIOR DAILY,96,91045.28125
Germany,Sallys Welt,96,108558.76041666667
Russia,Максим Шевченко,95,195020.74736842106
France,WatchMojo Français,95,109460.57894736843
France,Ligue 1 Uber Eats,95,394424.4947368421
Canada,TheEllenShow,95,1534418.2736842106
Germany,ZDF,94,72955.90425531915
Germany,Elhiwar Ettounsi,94,143024.79787234042
Mexico,Sebastian Acero,93,152004.49462365592
France,Ça Zap !,93,48465.591397849465
Russia,Сериал След. Пятый канал,93,139811.95698924732
Germany,GameStar,93,72968.16129032258
Germany,Acunn.com,92,441992.6847826087
India,Zee Yuva,92,63979.739130434784
France,Téléfoot,92,149690.21739130435
Germany,RadaanMedia,92,328200.6956521739
Russia,iKakProsto2,91,120300.38461538461
Russia,AcademeG,91,1241153.087912088
Canada,FBE,91,1095950.0
Russia,Жалбырак ТВ,91,56155.307692307695
France,Çukur,91,1289380.7142857143
Russia,Мой мир,91,50275.494505494506
Germany,Duymayan Kalmasın,91,29290.20879120879
India,zeebangla,90,233267.5888888889
Russia,TimOn ChaveS,90,398658.55555555556
Germany,Müge Anlı ile Tatlı Sert,90,55120.42222222222
Russia,varlamov,90,508809.4666666667
Canada,ABS-CBN Entertainment,90,409670.5333333333
France,Guillaume Pley,90,185163.96666666667
India,WWE,90,1930925.9
Mexico,WatchMojo Español,90,294681.26666666666
